0,0.69,0.79
60,0.74,0.84
120,0.79,0.84
180,0.79,0.84
240,0.7,0.81
300,0.69,0.8
360,0.72,0.89
420,0.74,0.87
480,0.79,0.78
540,0.72,0.86
600,0.72,0.95
660,0.74,0.81
720,0.71,0.93
780,0.77,0.92
840,0.7,0.92
900,0.7,0.86
960,0.73,0.75
1020,0.7,0.83
1080,0.78,0.89
1140,0.73,0.93
1200,0.7,0.79
1260,0.8,0.75
1320,0.73,0.92
1380,0.72,0.92
1440,0.71,0.95
1500,0.72,0.84
1560,0.7,0.9
1620,0.74,0.76
1680,0.73,0.85
1740,0.79,0.8
1800,0.73,0.87
1860,0.69,0.82
1920,0.71,0.76
1980,0.76,0.87
2040,0.78,0.81
2100,0.78,0.8
2160,0.69,0.95
2220,0.69,0.82
2280,0.7,0.81
2340,0.74,0.83
2400,0.73,0.77
2460,0.74,0.94
2520,0.8,0.8
2580,0.78,0.81
2640,0.72,0.94
2700,0.7,0.79
2760,0.74,0.84
2820,0.69,0.95
2880,0.76,0.92
2940,0.74,0.81
3000,0.69,0.87
3060,0.69,0.95
3120,0.69,0.75
3180,0.69,0.89
3240,0.75,0.83
3300,0.73,0.95
3360,0.77,0.79
3420,0.74,0.82
3480,0.77,0.93
3540,0.72,0.84
