0,0.6,0.84
60,0.61,0.84
120,0.6,0.85
180,0.58,0.85
240,0.6,0.8
300,0.6,0.8
360,0.62,0.81
420,0.58,0.83
480,0.58,0.79
540,0.62,0.8
600,0.61,0.83
660,0.61,0.85
720,0.6,0.84
780,0.62,0.79
840,0.59,0.79
900,0.59,0.85
960,0.58,0.82
1020,0.58,0.82
1080,0.58,0.85
1140,0.58,0.79
1200,0.59,0.82
1260,0.61,0.85
1320,0.58,0.85
1380,0.58,0.82
1440,0.58,0.78
1500,0.62,0.84
1560,0.6,0.78
1620,0.61,0.8
1680,0.6,0.79
1740,0.62,0.84
1800,0.6,0.78
1860,0.58,0.83
1920,0.59,0.81
1980,0.62,0.79
2040,0.58,0.81
2100,0.6,0.85
2160,0.61,0.79
2220,0.58,0.84
2280,0.6,0.81
2340,0.61,0.83
2400,0.63,0.86
2460,0.64,0.86
2520,0.74,0.85
2580,0.73,0.86
2640,0.74,0.85
2700,0.72,0.84
2760,0.71,0.86
2820,0.63,0.85
2880,0.64,0.83
2940,0.67,0.83
3000,0.68,0.86
3060,0.69,0.86
3120,0.72,0.85
3180,0.69,0.85
3240,0.74,0.85
3300,0.64,0.83
3360,0.69,0.86
3420,0.73,0.83
3480,0.75,0.85
3540,0.67,0.84
